date,data engineer,data engineering,big data engineer,ai engineer,machine learning
2024-06-09,21,13,0,9,72
2024-06-16,21,14,0,8,67
2024-06-23,22,13,1,9,74
2024-06-30,18,12,0,7,64
2024-07-07,22,13,0,8,70
2024-07-14,22,13,0,7,67
2024-07-21,24,14,1,8,71
2024-07-28,23,14,1,6,66
2024-08-04,23,13,0,7,69
2024-08-11,23,14,1,8,63
2024-08-18,25,16,1,8,74
2024-08-25,24,16,0,8,69
2024-09-01,23,15,0,8,73
2024-09-08,24,16,0,8,73
2024-09-15,24,17,1,9,80
2024-09-22,26,16,0,9,78
2024-09-29,23,15,0,9,70
2024-10-06,23,18,0,8,75
2024-10-13,23,16,0,8,73
2024-10-20,25,17,0,13,84
2024-10-27,22,16,0,9,87
2024-11-03,18,14,0,8,69
2024-11-10,23,16,1,10,84
2024-11-17,23,16,0,9,84
2024-11-24,17,12,0,8,71
2024-12-01,21,16,0,8,80
2024-12-08,26,16,0,9,80
2024-12-15,22,15,0,9,70
2024-12-22,17,12,0,7,57
2024-12-29,18,12,0,9,62
2025-01-05,23,15,0,11,79
2025-01-12,27,18,1,13,74
2025-01-19,28,18,1,12,80
2025-01-26,28,20,1,13,81
2025-02-02,29,19,0,12,83
2025-02-09,27,19,0,14,91
2025-02-16,28,21,1,15,100
2025-02-23,29,20,0,13,86
2025-03-02,27,19,1,13,91
2025-03-09,27,20,0,12,86
2025-03-16,27,20,0,13,83
2025-03-23,25,20,0,13,83
2025-03-30,26,19,1,13,76
2025-04-06,26,19,0,13,79
2025-04-13,24,18,1,12,76
2025-04-20,26,17,0,12,89
2025-04-27,26,20,1,13,87
2025-05-04,27,19,0,13,93
2025-05-11,23,19,0,15,89
2025-05-18,27,16,1,15,76
2025-05-25,24,17,0,18,76
2025-06-01,26,20,0,20,88
2025-06-08,23,17,0,17,85
